Name,BITS_ID,BITS_Email,Mobile_Number
Akshat,2020A7PS0001P,f20200001@pilani.bits-pilani.ac.in,9876543210
Vivan,2020A7PS0002P,f20200002@pilani.bits-pilani.ac.in,9876543209
Archi,2020A7PS0003P,f20200003@pilani.bits-pilani.ac.in,876543208
Ivan,2020A7PS0004P,f20200004@pilani.bits-pilani.ac.in,9876543207
Vrinda,2020A7PS0005P,f20200005@pilani.bits-pilani.ac.in,9876543206
Varun,2020A7PS0006P,f20200006@pilani.bits-pilani.ac.in,9876543205
Akansha,2020A7PS0007P,f20200007@pilani.bits-pilani.ac.in,9876543204
Saiyansh,2020A7PS0008P,f20200008@pilani.bits-pilani.ac.in,9876543203
Mayank,2020A7PS0009P,f20200009@pilani.bits-pilani.ac.in,9876543202
Naitik,2020A7PS0010P,f20200010@pilani.bits-pilani.ac.in,9876543201
Nishi,2020A7PS0011P,f20200011@pilani.bits-pilani.ac.in,9876543200
